#
#  aracyc 22.6 Reactions link table generated on Tue Nov 27, 2018
#
FERREDOXIN--NITRITE-REDUCTASE-RXN	EC-1.7.7.1
RXN-8695	EC-1.14.13
RXN-8325	EC-1.14.19.25
RXN-13294	EC-2.3.1.199
AMINE-OXIDASE-FLAVIN-CONTAINING-RXN	EC-1.4.3.4
MYO-INOSITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.18
RXN-13023	
RXN1G-138	EC-2.3.1
RXN-2223	EC-1.14.11
RXN-8284	EC-2.4.1
RXN66-478	EC-1.1.1.1
PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	EC-3.1.3.36
RXN-14987	EC-4.3.1.23	EC-4.3.1.25
--MENTHOL-DEHYDROGENASE-RXN	EC-1.1.1.207
TRANS-RXN-202	
RXN0-6372	
RXN-11361	EC-2.7.7.80
RXN-1406	
2.4.1.111-RXN	EC-2.4.1.111
1.2.1.42-RXN	EC-1.2.1.42
RXN-12898	EC-1.1.1.320
RXN-7740	EC-1.14.15.17
RXN-9532	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-14754	EC-1.14.13
RXN-8363	EC-1.14.19.23
TRYPSYN-RXN	EC-4.2.1.20
HOMOCYSMET-RXN	EC-2.1.1.14
RXN-18266	EC-2.4.1.122
RXN-11436	EC-4.4.1
RXN-17890	EC-2.3.2.8
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
TRANS-RXN-178	EC-3.6.3
1.2.1.27-RXN	EC-1.2.1.27
RXN-13482	EC-2.1.3.3
PROSTAGLANDIN-E-SYNTHASE-RXN	EC-5.3.99.3
RXN-4726	EC-2.4.1
RXN1F-154	
RXN-3581	EC-2.4.1.170
3.2.1.17-RXN	EC-3.2.1.17
3.2.1.114-RXN	EC-3.2.1.114
RXN-11469	EC-3.2.1.175
RXN-6763	EC-4.4.1.13
2.7.1.140-RXN	EC-2.7.1.140
GSAAMINOTRANS-RXN	EC-5.4.3.8
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
ACYLPYRUVATE-HYDROLASE-RXN	EC-3.7.1.5
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN	EC-2.3.2.4
METHYLENETHFDEHYDROG-NADP-RXN	EC-1.5.1.5
RXN0-5244	
RXN-9273	
RXN-4722	EC-2.4.1
RXN-12136	EC-1.14.13
GUANOSINEKIN-RXN	EC-2.7.1.73
RXN-11112	EC-3.4.17.23
